N08b | repos/erp-nucleo/src/adaptadores/sessao-redis.ts | import 'server-only' trocado por template literal com o import na linha do meio | inv. 3 | KILLED | saida 1:   adaptadores/sessao-redis.ts: falta import 'server-only' / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N36b | repos/erp-nucleo/src/interno/destinos.ts | TIMEOUT_PADRAO_MS lido mas nao usado (60 s fixo) | config | KILLED | 135/136; reprovou: N36b (auditor_b1_d1_3): destino sem timeoutMs usa ERP_DESTINO_TIMEOUT_MS do ambiente, nao um valor fixo
N53 | repos/erp-nucleo/src/fabricas/criarPaginas.ts | origemPermitida aceita Sec-Fetch-Site same-site | inv. 5 | KILLED | 135/136; reprovou: acaoProtegida: origem ruim nega sem consultar sessao nem acesso, e sem rodar o corpo
A05 | repos/erp-nucleo/src/interno/acesso-v2.ts | reduzirEu aceita nome de modulo vazio | - | KILLED | 135/136; reprovou: reduzirEu: papeis vazios nao administram; papeis e modulos mal formados sao erro
N38b | repos/erp-nucleo/src/app/index.ts | /app reexporta sessaoRedisDeEscrita as lojaDeSessao, aspas duplas | inv. 15 | KILLED | saida 1:   app/index.ts: simbolo exclusivo do shell 'sessaoRedisDeEscrita' nao pode ser importado ou usado fora de shell/ / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N38c | repos/erp-nucleo/src/index.ts | raiz reexporta sessaoArquivoDeEscrita as sessaoArquivoCompleta | inv. 15 | KILLED | saida 1:   index.ts: simbolo exclusivo do shell 'sessaoArquivoDeEscrita' nao pode ser importado ou usado fora de shell/ / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N38d | repos/erp-nucleo/src/index.ts | raiz exporta embrulho do escritor: sessaoRedisCompleta = (...a) => sessaoRedisDeEscrita(...a) | inv. 15 | KILLED | saida 1:   index.ts: simbolo exclusivo do shell 'sessaoRedisDeEscrita' nao pode ser importado ou usado fora de shell/ / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N38e | repos/erp-nucleo/src/app/index.ts | /app exporta objeto { criar: criarNucleoDoShell } | inv. 15 | KILLED | saida 1:   app/index.ts: simbolo exclusivo do shell 'criarNucleoDoShell' nao pode ser importado ou usado fora de shell/ / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N38f | repos/erp-nucleo/src/app/index.ts | /app exporta criarNucleoCompleto = (c) => criarNucleoDoShell(c) | inv. 15 | KILLED | saida 1:   app/index.ts: simbolo exclusivo do shell 'criarNucleoDoShell' nao pode ser importado ou usado fora de shell/ / [ELIFECYCLE] Command failed with exit code 1. / [ELIFECYCLE] Test failed. See above for more details.
N38g | repos/erp-nucleo/src/fabricas/criarNucleo.ts + repos/erp-nucleo/src/app/index.ts | NOVA: embrulho declarado no PROPRIO arquivo definidor (fabricas/criarNucleo.ts: criarNucleoCompleto = (c) => criarNucleoDoShell(c)) e reexportado por /app | inv. 15 | SURVIVED | 136/136
N38h | repos/erp-nucleo/src/adaptadores/sessao-redis.ts + repos/erp-nucleo/src/index.ts | NOVA: embrulho no arquivo definidor (adaptadores/sessao-redis.ts: sessaoRedisPlena) reexportado pela raiz | inv. 15 | SURVIVED | 136/136
N38i | repos/erp-nucleo/src/adaptadores/sessao-redis.ts | NOVA: o leitor da raiz (sessaoRedis) devolve o escritor quando a config pede escrita | inv. 15 | SURVIVED | 136/136
