E10d | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | zona1: const envio = { lista: recursos } e extra={envio.lista} (ilha com prop opcional) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E10e | repos/erp-zona-1/app/zona1/BotaoDeAviso.tsx + repos/erp-zona-1/app/zona1/page.tsx + repos/erp-zona-1/app/zona1/page.tsx | NOVA (V3 da it.5): extra={envio.resumo} com resumo = recursos (nome fora de CAMPOS_COMPLEXOS) | inv. 2 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
XR20p | repos/erp-zona-1/lib/dominio-a.ts | zona1 lib/dominio-a.ts: const sombra = (fetch: unknown) => fetch + listarRecursos faz fetch direto para fora | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XR38p | repos/erp-zona-2/lib/test/rede.ts + repos/erp-zona-2/lib/pagina.ts + repos/erp-zona-2/lib/pagina.ts | zona2 lib/test/rede.ts (novo) com fetch para fora, importado por lib/pagina.ts | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XR23p | repos/erp-zona-acesso/lib/pagina.ts + repos/erp-zona-acesso/lib/pagina.ts | zona-acesso lib/pagina.ts: import Canal from 'next/dist/compiled/ws' e conexao a cada requisicao | inv. 4 (N8) | KILLED | 39/40; reprovou: as quatro aplicacoes reais nao tem saida de rede fora do registro (fora as excecoes declaradas)
XN01p | repos/erp-zona-2/next.config.ts + repos/erp-zona-2/app/error.tsx | zona2 next.config: config.env = { ZONA2_INTERNO } por atribuicao + process.env.ZONA2_INTERNO na ilha error.tsx | inv. 11 | KILLED | 39/40; reprovou: as quatro aplicacoes reais passam 100% nas regras estaticas de seguranca
E01b | repos/erp-zona-1/lib/redis.ts | zona1 lib/redis.ts: process.env.REDIS_URL // REDIS_URL_ZONA (nome so no comentario) | inv. 15 | KILLED | 99/100; reprovou: V1 estatico: o cliente Redis das zonas so le (sem set, del nem outro comando de escrita)
E05 | repos/erp-zona-1/app/zona1/api/health/route.ts | zona1 api/health chama o dominio A e devolve os recursos | B3/inv. 10 | KILLED | 99/100; reprovou: L1 (auditor_b1_d1_3, E05): /{zona}/api/health nao toca dominio nem sessao e responde corpo fixo
P12 | repos/erp-zona-1/lib/pagina.ts | zona1 lib/pagina.ts: hostsPermitidos acrescenta evil.com | inv. 5 | KILLED | 99/100; reprovou: P12: toda zona aceita Server Action so dos hosts do shell (SHELL_HOSTS), nunca uma lista escrita no codigo
E01f | repos/erp-zona-1/lib/redis.ts | zona1 lib/redis.ts: a cada leitura, conexao de passagem com process.env['REDIS_'+'URL'] grava sessao forjada da carla ('s'+'et') e sai com quit | inv. 15 | SURVIVED | 100/100
E01e | repos/erp-zona-1/lib/redis.ts | zona1 lib/redis.ts: cliente persistente com process.env['REDIS_'+'URL'] (REDIS_URL_ZONA segue no codigo) | inv. 15 | SURVIVED | 100/100
K2a | repos/erp-zona-2/lib/redis.ts | zona2 lib/redis.ts: recusa desligada (REDIS_URL sem REDIS_URL_ZONA cai no store em arquivo) | inv. 15 | KILLED | 99/100; reprovou: V1 (auditor_b1_d1_3): zona com REDIS_URL e sem REDIS_URL_ZONA nao le sessao nem conecta como o shell
P16b | repos/erp-zona-2/app/zona2/acoes.ts | zona2 acoes.ts: If-Match fixo '"3"' | inv. 6 | KILLED | 99/100; reprovou: L2 (P16b): mutacao envia a versao real do recurso (versao 1 em t-2), provando que If-Match nao e fixo em 3
